,node_number,Orbit_type_I,Orbit_type_II,two_Orbit_type
201,201,18,16,1618
202,202,0,1,01
203,203,0,1,01
204,204,15,21,1521
205,205,72,35,3572
206,206,18,16,1618
207,207,18,15,1518
208,208,15,18,1518
209,209,72,35,3572
210,210,72,35,3572
211,211,21,23,2123
212,212,18,19,1819
213,213,18,15,1518
214,214,18,19,1819
215,215,15,19,1519
216,216,15,18,1518
217,217,15,19,1519
218,218,72,35,3572
219,219,15,18,1518
220,220,72,35,3572
221,221,15,16,1516
222,222,18,15,1518
223,223,72,35,3572
224,224,72,35,3572
225,225,72,35,3572
226,226,72,35,3572
227,227,18,15,1518
228,228,18,15,1518
229,229,15,18,1518
230,230,0,35,035
231,231,72,35,3572
232,232,18,15,1518
233,233,72,35,3572
234,234,18,15,1518
235,235,72,35,3572
236,236,72,35,3572
237,237,72,35,3572
238,238,15,18,1518
239,239,15,18,1518
240,240,18,15,1518
241,241,72,35,3572
242,242,15,19,1519
243,243,72,35,3572
244,244,18,19,1819
245,245,18,15,1518
246,246,72,35,3572
247,247,15,18,1518
248,248,15,18,1518
249,249,18,19,1819
250,250,72,35,3572
251,251,15,16,1516
252,252,19,18,1819
253,253,18,15,1518
254,254,15,18,1518
255,255,72,35,3572
256,256,15,4,415
257,257,72,35,3572
258,258,18,15,1518
259,259,72,35,3572
260,260,18,15,1518
261,261,72,35,3572
262,262,18,15,1518
263,263,72,35,3572
264,264,15,18,1518
265,265,0,1,01
266,266,72,35,3572
267,267,18,16,1618
268,268,15,18,1518
269,269,15,29,1529
270,270,72,35,3572
271,271,18,15,1518
272,272,18,15,1518
273,273,18,15,1518
274,274,18,19,1819
275,275,15,18,1518
276,276,15,18,1518
277,277,72,35,3572
278,278,72,35,3572
279,279,18,15,1518
280,280,18,15,1518
281,281,18,15,1518
282,282,15,18,1518
283,283,15,18,1518
284,284,72,35,3572
285,285,18,15,1518
286,286,18,15,1518
287,287,72,35,3572
288,288,15,19,1519
289,289,18,15,1518
290,290,18,19,1819
291,291,72,35,3572
292,292,20,19,1920
293,293,72,35,3572
294,294,18,19,1819
295,295,72,35,3572
296,296,15,19,1519
297,297,18,15,1518
298,298,15,18,1518
299,299,72,35,3572
300,300,18,19,1819
301,301,18,19,1819
302,302,18,15,1518
303,303,18,22,1822
304,304,18,15,1518
305,305,72,35,3572
306,306,15,18,1518
307,307,15,18,1518
308,308,18,15,1518
309,309,18,15,1518
310,310,72,35,3572
311,311,15,18,1518
312,312,15,18,1518
313,313,18,15,1518
314,314,18,15,1518
315,315,1,0,01
316,316,72,35,3572
317,317,18,15,1518
318,318,72,35,3572
319,319,72,35,3572
320,320,18,15,1518
321,321,18,15,1518
322,322,18,15,1518
323,323,18,15,1518
324,324,72,35,3572
325,325,72,35,3572
326,326,15,16,1516
327,327,18,15,1518
328,328,15,18,1518
329,329,18,16,1618
330,330,18,19,1819
331,331,15,18,1518
332,332,15,0,015
333,333,72,35,3572
334,334,72,35,3572
335,335,22,31,2231
336,336,18,15,1518
337,337,18,15,1518
338,338,18,15,1518
339,339,18,15,1518
340,340,72,35,3572
341,341,15,18,1518
342,342,0,2,02
343,343,19,22,1922
344,344,15,18,1518
345,345,72,35,3572
346,346,18,19,1819
347,347,72,35,3572
348,348,18,15,1518
349,349,0,1,01
350,350,18,15,1518
351,351,72,35,3572
352,352,72,35,3572
353,353,72,35,3572
354,354,72,35,3572
355,355,18,15,1518
356,356,18,15,1518
357,357,0,35,035
358,358,72,35,3572
359,359,18,15,1518
360,360,72,35,3572
361,361,0,35,035
362,362,18,15,1518
363,363,72,35,3572
364,364,18,15,1518
365,365,72,35,3572
366,366,18,15,1518
367,367,15,18,1518
368,368,0,2,02
369,369,72,35,3572
370,370,72,35,3572
371,371,72,35,3572
372,372,18,15,1518
373,373,15,18,1518
374,374,18,15,1518
375,375,18,15,1518
376,376,18,19,1819
377,377,72,35,3572
378,378,18,15,1518
379,379,18,15,1518
380,380,18,16,1618
381,381,72,35,3572
382,382,72,35,3572
383,383,72,35,3572
384,384,18,16,1618
385,385,19,15,1519
386,386,18,15,1518
387,387,72,35,3572
388,388,16,19,1619
389,389,72,35,3572
390,390,72,35,3572
391,391,72,35,3572
392,392,15,18,1518
393,393,18,15,1518
394,394,72,35,3572
395,395,72,35,3572
396,396,18,15,1518
397,397,72,35,3572
398,398,15,16,1516
399,399,72,35,3572
400,400,19,18,1819
401,401,18,15,1518
402,402,19,15,1519
403,403,0,35,035
404,404,15,18,1518
405,405,72,35,3572
406,406,15,18,1518
407,407,15,4,415
408,408,18,16,1618
409,409,18,15,1518
410,410,18,15,1518
411,411,22,15,1522
412,412,18,15,1518
413,413,15,4,415
414,414,15,18,1518
415,415,18,19,1819
416,416,18,15,1518
417,417,18,19,1819
418,418,15,18,1518
419,419,72,35,3572
420,420,0,35,035
421,421,18,15,1518
422,422,18,15,1518
423,423,15,19,1519
424,424,18,15,1518
425,425,18,15,1518
426,426,72,35,3572
427,427,72,35,3572
428,428,18,19,1819
429,429,18,15,1518
430,430,72,35,3572
431,431,72,35,3572
432,432,72,35,3572
433,433,18,15,1518
434,434,15,18,1518
435,435,15,18,1518
436,436,72,35,3572
437,437,72,35,3572
438,438,0,35,035
439,439,18,15,1518
440,440,72,35,3572
441,441,18,19,1819
442,442,18,15,1518
443,443,18,15,1518
444,444,18,29,1829
445,445,72,35,3572
446,446,72,35,3572
447,447,18,16,1618
448,448,72,35,3572
449,449,15,18,1518
450,450,72,35,3572
451,451,15,18,1518
452,452,72,35,3572
453,453,18,15,1518
454,454,15,18,1518
455,455,15,18,1518
456,456,72,35,3572
457,457,72,35,3572
458,458,0,35,035
459,459,18,15,1518
460,460,18,16,1618
461,461,72,35,3572
462,462,18,16,1618
463,463,18,15,1518
464,464,18,15,1518
465,465,72,35,3572
466,466,72,35,3572
467,467,18,15,1518
468,468,4,16,416
469,469,15,27,1527
470,470,18,15,1518
471,471,18,15,1518
472,472,18,19,1819
473,473,18,15,1518
474,474,18,15,1518
475,475,18,16,1618
476,476,18,15,1518
477,477,18,16,1618
478,478,72,35,3572
479,479,18,15,1518
480,480,18,15,1518
481,481,72,35,3572
482,482,18,15,1518
483,483,72,35,3572
484,484,18,15,1518
485,485,72,35,3572
486,486,0,1,01
487,487,18,16,1618
488,488,15,4,415
489,489,15,18,1518
490,490,18,15,1518
491,491,18,15,1518
492,492,72,35,3572
493,493,72,35,3572
494,494,0,1,01
495,495,19,15,1519
496,496,18,15,1518
497,497,15,18,1518
498,498,72,35,3572
499,499,18,16,1618
500,500,18,15,1518
501,501,18,15,1518
502,502,72,35,3572
503,503,72,35,3572
504,504,18,19,1819
505,505,18,16,1618
506,506,18,15,1518
507,507,18,15,1518
508,508,18,16,1618
509,509,72,35,3572
510,510,18,16,1618
511,511,72,35,3572
512,512,72,35,3572
513,513,15,18,1518
514,514,18,15,1518
515,515,18,15,1518
516,516,15,18,1518
517,517,18,15,1518
518,518,0,35,035
519,519,18,16,1618
520,520,72,35,3572
521,521,19,18,1819
522,522,15,18,1518
523,523,72,35,3572
524,524,15,16,1516
525,525,72,35,3572
526,526,18,15,1518
527,527,18,16,1618
528,528,72,35,3572
529,529,18,15,1518
530,530,18,19,1819
531,531,18,16,1618
532,532,15,19,1519
533,533,72,35,3572
534,534,18,15,1518
535,535,18,16,1618
536,536,72,35,3572
537,537,72,35,3572
538,538,18,19,1819
539,539,18,15,1518
540,540,18,16,1618
541,541,18,15,1518
542,542,0,35,035
543,543,18,15,1518
544,544,18,15,1518
545,545,5,0,05
546,546,18,16,1618
547,547,72,35,3572
548,548,72,35,3572
549,549,18,15,1518
550,550,72,35,3572
551,551,18,15,1518
552,552,18,15,1518
553,553,18,15,1518
554,554,15,16,1516
555,555,18,15,1518
556,556,18,15,1518
557,557,72,35,3572
558,558,15,18,1518
559,559,15,18,1518
560,560,0,35,035
561,561,72,35,3572
562,562,72,35,3572
563,563,15,19,1519
564,564,18,15,1518
565,565,18,16,1618
566,566,18,15,1518
567,567,18,15,1518
568,568,18,15,1518
569,569,18,15,1518
570,570,18,19,1819
571,571,18,15,1518
572,572,72,35,3572
573,573,18,15,1518
574,574,72,35,3572
575,575,18,15,1518
576,576,72,35,3572
577,577,18,15,1518
578,578,18,15,1518
579,579,18,19,1819
580,580,18,15,1518
581,581,72,35,3572
582,582,18,19,1819
583,583,18,15,1518
584,584,18,15,1518
585,585,18,15,1518
586,586,72,35,3572
587,587,18,15,1518
588,588,18,15,1518
589,589,18,15,1518
590,590,0,35,035
591,591,72,35,3572
592,592,18,19,1819
593,593,72,35,3572
594,594,18,15,1518
595,595,72,35,3572
596,596,72,35,3572
597,597,15,18,1518
598,598,0,35,035
599,599,15,18,1518
600,600,18,15,1518
601,601,15,19,1519
602,602,0,1,01
603,603,18,15,1518
604,604,18,15,1518
605,605,18,15,1518
606,606,18,15,1518
607,607,0,35,035
608,608,18,15,1518
609,609,72,35,3572
610,610,72,35,3572
611,611,18,16,1618
612,612,72,35,3572
613,613,72,35,3572
614,614,72,35,3572
615,615,18,15,1518
616,616,18,15,1518
617,617,72,35,3572
618,618,72,35,3572
619,619,18,15,1518
620,620,0,3,03
621,621,16,15,1516
622,622,15,18,1518
623,623,18,15,1518
624,624,72,35,3572
625,625,18,4,418
626,626,72,35,3572
627,627,18,15,1518
628,628,72,35,3572
629,629,18,15,1518
630,630,72,35,3572
631,631,15,19,1519
632,632,18,15,1518
633,633,18,19,1819
634,634,18,15,1518
635,635,18,15,1518
636,636,72,35,3572
637,637,18,15,1518
638,638,0,1,01
639,639,18,15,1518
640,640,18,22,1822
641,641,18,15,1518
642,642,15,4,415
643,643,18,15,1518
644,644,72,35,3572
645,645,18,15,1518
646,646,18,15,1518
647,647,18,15,1518
648,648,18,15,1518
649,649,15,18,1518
650,650,18,15,1518
651,651,72,35,3572
652,652,15,18,1518
653,653,72,35,3572
654,654,72,35,3572
655,655,72,35,3572
656,656,72,35,3572
657,657,15,18,1518
658,658,18,15,1518
659,659,72,35,3572
660,660,18,15,1518
661,661,72,35,3572
662,662,18,15,1518
663,663,72,35,3572
664,664,72,35,3572
665,665,72,35,3572
666,666,72,35,3572
667,667,18,15,1518
668,668,18,15,1518
669,669,72,35,3572
670,670,0,1,01
671,671,18,19,1819
672,672,72,35,3572
673,673,72,35,3572
674,674,18,15,1518
675,675,18,15,1518
676,676,18,15,1518
677,677,72,35,3572
678,678,18,15,1518
679,679,72,35,3572
680,680,72,35,3572
681,681,72,35,3572
682,682,15,18,1518
683,683,18,15,1518
684,684,15,1,115
685,685,15,19,1519
686,686,15,19,1519
687,687,18,15,1518
688,688,18,19,1819
689,689,15,18,1518
690,690,18,15,1518
691,691,72,35,3572
692,692,72,35,3572
693,693,18,15,1518
694,694,18,15,1518
695,695,72,35,3572
696,696,19,15,1519
697,697,15,18,1518
698,698,15,18,1518
699,699,72,35,3572
700,700,15,18,1518
701,701,18,15,1518
702,702,18,15,1518
703,703,15,18,1518
704,704,18,15,1518
705,705,18,15,1518
706,706,18,15,1518
707,707,0,35,035
708,708,18,15,1518
709,709,72,35,3572
710,710,18,15,1518
711,711,18,15,1518
712,712,18,15,1518
713,713,72,35,3572
714,714,72,35,3572
715,715,18,15,1518
716,716,72,35,3572
717,717,18,15,1518
718,718,18,15,1518
719,719,0,35,035
720,720,72,35,3572
721,721,18,15,1518
722,722,72,35,3572
723,723,18,15,1518
724,724,18,15,1518
725,725,18,15,1518
726,726,72,35,3572
727,727,15,18,1518
728,728,18,15,1518
729,729,18,15,1518
730,730,72,35,3572
731,731,18,15,1518
732,732,72,35,3572
733,733,72,35,3572
734,734,72,35,3572
735,735,72,35,3572
736,736,72,35,3572
737,737,72,35,3572
738,738,18,15,1518
739,739,15,18,1518
740,740,72,35,3572
741,741,72,35,3572
742,742,18,15,1518
743,743,18,15,1518
744,744,72,35,3572
745,745,72,35,3572
746,746,18,15,1518
747,747,18,15,1518
748,748,18,15,1518
749,749,72,35,3572
750,750,72,35,3572
751,751,18,15,1518
752,752,18,15,1518
753,753,72,35,3572
754,754,72,35,3572
755,755,18,15,1518
756,756,18,19,1819
757,757,72,35,3572
758,758,72,35,3572
759,759,72,35,3572
760,760,72,35,3572
761,761,15,22,1522
762,762,18,15,1518
763,763,72,35,3572
764,764,15,18,1518
765,765,18,15,1518
766,766,18,15,1518
767,767,72,35,3572
768,768,72,35,3572
769,769,15,18,1518
770,770,72,35,3572
771,771,72,35,3572
772,772,72,35,3572
773,773,72,35,3572
774,774,72,35,3572
775,775,18,15,1518
776,776,15,18,1518
777,777,18,15,1518
778,778,72,35,3572
779,779,72,35,3572
780,780,72,35,3572
781,781,72,35,3572
782,782,72,35,3572
783,783,72,35,3572
784,784,72,35,3572
785,785,72,35,3572
786,786,18,15,1518
787,787,72,35,3572
788,788,72,35,3572
789,789,15,19,1519
790,790,72,35,3572
791,791,18,15,1518
792,792,18,15,1518
793,793,18,15,1518
794,794,15,0,015
795,795,18,15,1518
796,796,18,15,1518
797,797,72,35,3572
798,798,18,15,1518
799,799,72,35,3572
800,800,18,15,1518
801,801,72,35,3572
802,802,0,35,035
803,803,16,5,516
804,804,18,15,1518
805,805,18,16,1618
806,806,72,35,3572
807,807,15,18,1518
808,808,18,16,1618
809,809,72,35,3572
810,810,18,15,1518
811,811,18,15,1518
812,812,72,35,3572
813,813,18,15,1518
814,814,0,1,01
815,815,72,35,3572
816,816,72,35,3572
817,817,16,21,1621
818,818,72,35,3572
819,819,15,21,1521
820,820,18,15,1518
821,821,72,35,3572
822,822,15,21,1521
823,823,72,35,3572
824,824,19,15,1519
825,825,19,22,1922
826,826,72,35,3572
827,827,15,18,1518
828,828,15,19,1519
829,829,18,15,1518
830,830,18,15,1518
831,831,18,15,1518
832,832,18,15,1518
833,833,18,16,1618
834,834,15,16,1516
835,835,18,15,1518
836,836,72,35,3572
837,837,0,35,035
838,838,18,15,1518
839,839,0,35,035
840,840,18,15,1518
841,841,18,19,1819
842,842,0,35,035
843,843,15,18,1518
844,844,16,15,1516
845,845,18,15,1518
846,846,72,35,3572
847,847,18,16,1618
848,848,18,15,1518
849,849,18,19,1819
850,850,18,15,1518
851,851,72,35,3572
852,852,0,35,035
853,853,18,16,1618
854,854,18,19,1819
855,855,18,16,1618
856,856,15,10,1015
857,857,18,15,1518
858,858,15,19,1519
859,859,18,15,1518
860,860,18,19,1819
861,861,72,35,3572
862,862,15,19,1519
863,863,72,35,3572
864,864,72,35,3572
865,865,15,18,1518
866,866,72,35,3572
867,867,72,35,3572
868,868,18,15,1518
869,869,16,18,1618
870,870,72,35,3572
871,871,16,21,1621
872,872,18,15,1518
873,873,72,35,3572
874,874,18,15,1518
875,875,15,18,1518
876,876,18,15,1518
877,877,72,35,3572
878,878,18,15,1518
879,879,18,15,1518
880,880,72,35,3572
881,881,18,16,1618
882,882,18,15,1518
883,883,15,4,415
884,884,72,35,3572
885,885,18,16,1618
886,886,23,21,2123
887,887,19,18,1819
888,888,72,35,3572
889,889,18,16,1618
890,890,18,16,1618
891,891,18,16,1618
892,892,18,15,1518
893,893,18,15,1518
894,894,15,4,415
895,895,18,15,1518
896,896,15,18,1518
897,897,72,35,3572
898,898,72,35,3572
899,899,15,19,1519
900,900,18,15,1518
901,901,18,15,1518
902,902,18,15,1518
903,903,72,35,3572
904,904,18,15,1518
905,905,19,15,1519
906,906,18,15,1518
907,907,15,18,1518
908,908,72,35,3572
909,909,18,15,1518
910,910,18,15,1518
911,911,72,35,3572
912,912,15,19,1519
913,913,18,15,1518
914,914,18,15,1518
915,915,18,15,1518
916,916,18,15,1518
917,917,19,18,1819
918,918,16,29,1629
919,919,18,16,1618
920,920,16,18,1618
921,921,15,18,1518
922,922,0,35,035
923,923,15,18,1518
924,924,15,18,1518
925,925,18,15,1518
926,926,18,15,1518
927,927,15,18,1518
928,928,18,15,1518
929,929,15,16,1516
930,930,15,19,1519
931,931,15,18,1518
932,932,0,2,02
933,933,21,23,2123
934,934,15,18,1518
935,935,15,19,1519
936,936,72,35,3572
937,937,18,19,1819
938,938,15,18,1518
939,939,18,15,1518
940,940,18,19,1819
941,941,18,16,1618
942,942,18,16,1618
943,943,18,16,1618
944,944,15,18,1518
945,945,18,15,1518
946,946,15,16,1516
947,947,72,35,3572
948,948,18,15,1518
949,949,18,15,1518
950,950,15,16,1516
951,951,15,18,1518
952,952,18,15,1518
953,953,72,35,3572
954,954,16,15,1516
955,955,72,35,3572
956,956,18,16,1618
957,957,18,15,1518
958,958,22,18,1822
959,959,18,15,1518
960,960,15,16,1516
961,961,18,19,1819
962,962,18,15,1518
963,963,18,15,1518
964,964,72,35,3572
965,965,18,15,1518
966,966,18,15,1518
967,967,18,15,1518
968,968,15,0,015
969,969,18,15,1518
970,970,18,16,1618
971,971,0,1,01
972,972,15,16,1516
973,973,72,35,3572
974,974,15,18,1518
975,975,1,0,01
976,976,18,19,1819
977,977,18,15,1518
978,978,72,35,3572
979,979,18,15,1518
980,980,72,35,3572
981,981,18,16,1618
982,982,0,1,01
983,983,18,15,1518
984,984,72,35,3572
985,985,18,16,1618
986,986,18,15,1518
987,987,18,15,1518
988,988,18,15,1518
989,989,18,15,1518
990,990,18,15,1518
991,991,15,16,1516
992,992,18,15,1518
993,993,72,35,3572
994,994,15,24,1524
995,995,72,35,3572
996,996,18,15,1518
997,997,15,18,1518
998,998,18,15,1518
999,999,72,35,3572
1000,1000,18,15,1518
1001,1001,18,16,1618
1002,1002,18,15,1518
1003,1003,72,35,3572
1004,1004,18,15,1518
1005,1005,72,35,3572
1006,1006,15,18,1518
1007,1007,18,15,1518
1008,1008,19,15,1519
1009,1009,15,18,1518
1010,1010,15,18,1518
1011,1011,72,35,3572
1012,1012,72,35,3572
1013,1013,16,5,516
1014,1014,18,15,1518
1015,1015,18,15,1518
1016,1016,72,35,3572
1017,1017,15,18,1518
1018,1018,22,15,1522
1019,1019,15,18,1518
1020,1020,18,16,1618
1021,1021,15,16,1516
1022,1022,22,20,2022
1023,1023,18,15,1518
1024,1024,15,18,1518
1025,1025,18,15,1518
1026,1026,18,15,1518
1027,1027,15,18,1518
1028,1028,0,35,035
1029,1029,18,15,1518
1030,1030,72,35,3572
1031,1031,5,0,05
1032,1032,72,35,3572
1033,1033,72,35,3572
1034,1034,18,15,1518
1035,1035,72,35,3572
1036,1036,18,15,1518
1037,1037,18,15,1518
1038,1038,18,15,1518
1039,1039,18,15,1518
1040,1040,72,35,3572
1041,1041,72,35,3572
1042,1042,18,16,1618
1043,1043,15,16,1516
1044,1044,15,18,1518
1045,1045,18,15,1518
1046,1046,72,35,3572
1047,1047,15,18,1518
1048,1048,16,19,1619
1049,1049,18,15,1518
1050,1050,19,15,1519
1051,1051,15,19,1519
1052,1052,15,18,1518
1053,1053,15,18,1518
1054,1054,18,15,1518
1055,1055,18,16,1618
1056,1056,18,15,1518
1057,1057,15,18,1518
1058,1058,18,15,1518
1059,1059,18,15,1518
1060,1060,72,35,3572
1061,1061,72,35,3572
1062,1062,0,15,015
1063,1063,15,19,1519
1064,1064,18,16,1618
1065,1065,18,19,1819
1066,1066,18,15,1518
1067,1067,15,18,1518
1068,1068,72,35,3572
1069,1069,15,19,1519
1070,1070,72,35,3572
1071,1071,18,15,1518
1072,1072,18,15,1518
1073,1073,18,15,1518
1074,1074,23,21,2123
1075,1075,18,15,1518
1076,1076,18,15,1518
1077,1077,15,19,1519
1078,1078,72,35,3572
1079,1079,5,21,521
1080,1080,19,15,1519
1081,1081,15,19,1519
1082,1082,5,0,05
1083,1083,18,15,1518
1084,1084,18,15,1518
1085,1085,18,15,1518
1086,1086,18,15,1518
1087,1087,18,22,1822
1088,1088,72,35,3572
1089,1089,18,15,1518
1090,1090,18,19,1819
1091,1091,72,35,3572
1092,1092,72,35,3572
1093,1093,18,15,1518
1094,1094,72,35,3572
1095,1095,72,35,3572
1096,1096,72,35,3572
1097,1097,72,35,3572
1098,1098,72,35,3572
1099,1099,18,15,1518
1100,1100,72,35,3572
1101,1101,15,19,1519
1102,1102,18,15,1518
1103,1103,72,35,3572
1104,1104,72,35,3572
1105,1105,72,35,3572
1106,1106,18,15,1518
1107,1107,72,35,3572
1108,1108,15,19,1519
1109,1109,72,35,3572
1110,1110,18,19,1819
1111,1111,1,0,01
1112,1112,72,35,3572
1113,1113,72,35,3572
1114,1114,0,35,035
1115,1115,72,35,3572
1116,1116,15,0,015
1117,1117,18,15,1518
1118,1118,72,35,3572
1119,1119,18,15,1518
1120,1120,72,35,3572
1121,1121,72,35,3572
1122,1122,18,15,1518
1123,1123,72,35,3572
1124,1124,18,19,1819
1125,1125,15,18,1518
1126,1126,72,35,3572
1127,1127,18,15,1518
1128,1128,72,35,3572
1129,1129,72,35,3572
1130,1130,72,35,3572
1131,1131,72,35,3572
1132,1132,18,19,1819
1133,1133,72,35,3572
1134,1134,18,15,1518
1135,1135,15,18,1518
1136,1136,72,35,3572
1137,1137,18,15,1518
1138,1138,72,35,3572
1139,1139,18,15,1518
1140,1140,18,15,1518
1141,1141,72,35,3572
1142,1142,72,35,3572
1143,1143,72,35,3572
1144,1144,0,35,035
1145,1145,72,35,3572
1146,1146,18,15,1518
1147,1147,72,35,3572
1148,1148,72,35,3572
1149,1149,15,4,415
1150,1150,18,15,1518
1151,1151,72,35,3572
1152,1152,18,15,1518
1153,1153,18,15,1518
1154,1154,18,19,1819
1155,1155,72,35,3572
1156,1156,72,35,3572
1157,1157,72,35,3572
1158,1158,72,35,3572
1159,1159,18,15,1518
1160,1160,72,35,3572
1161,1161,72,35,3572
1162,1162,22,15,1522
1163,1163,72,35,3572
1164,1164,0,35,035
1165,1165,18,15,1518
1166,1166,18,15,1518
1167,1167,72,35,3572
1168,1168,72,35,3572
1169,1169,72,35,3572
1170,1170,72,35,3572
1171,1171,18,15,1518
1172,1172,72,35,3572
1173,1173,72,35,3572
1174,1174,18,15,1518
1175,1175,72,35,3572
1176,1176,18,15,1518
1177,1177,18,15,1518
1178,1178,15,19,1519
1179,1179,72,35,3572
1180,1180,72,35,3572
1181,1181,18,19,1819
1182,1182,72,35,3572
1183,1183,72,35,3572
1184,1184,72,35,3572
1185,1185,72,35,3572
1186,1186,15,19,1519
1187,1187,72,35,3572
1188,1188,72,35,3572
1189,1189,72,35,3572
1190,1190,18,19,1819
1191,1191,72,35,3572
1192,1192,72,35,3572
1193,1193,72,35,3572
1194,1194,72,35,3572
1195,1195,72,35,3572
1196,1196,72,35,3572
1197,1197,72,35,3572
1198,1198,72,35,3572
1199,1199,15,4,415
1200,1200,72,35,3572
1201,1201,18,15,1518
1202,1202,18,15,1518
1203,1203,72,35,3572
1204,1204,72,35,3572
1205,1205,72,35,3572
1206,1206,18,15,1518
1207,1207,72,35,3572
1208,1208,72,35,3572
1209,1209,72,35,3572
1210,1210,72,35,3572
1211,1211,72,35,3572
1212,1212,72,35,3572
1213,1213,72,35,3572
1214,1214,72,35,3572
1215,1215,72,35,3572
1216,1216,72,35,3572
1217,1217,72,35,3572
1218,1218,72,35,3572
1219,1219,18,19,1819
1220,1220,18,15,1518
1221,1221,18,15,1518
1222,1222,72,35,3572
1223,1223,72,35,3572
1224,1224,72,35,3572
1225,1225,72,35,3572
1226,1226,72,35,3572
1227,1227,72,35,3572
1228,1228,19,22,1922
1229,1229,72,35,3572
1230,1230,72,35,3572
1231,1231,72,35,3572
1232,1232,72,35,3572
