node_number,Orbit_type_I,Orbit_type_II,two_Orbit_type
1913,5,4,45
1917,4,1,14
1921,0,14,014
1923,14,13,1314
1925,14,13,1314
1926,14,13,1314
1927,14,13,1314
1931,14,13,1314
1934,14,13,1314
1938,14,13,1314
1939,14,13,1314
1940,0,14,014
1941,14,13,1314
1943,14,13,1314
1944,1,0,01
1947,14,13,1314
1948,4,0,04
1950,4,1,14
1952,14,13,1314
1953,14,13,1314
1954,14,13,1314
1955,14,13,1314
1956,14,13,1314
1957,14,13,1314
1958,14,13,1314
1960,14,13,1314
1962,14,13,1314
1963,14,13,1314
1965,14,13,1314
1967,14,13,1314
1968,5,1,15
1969,0,14,014
1971,0,14,014
1973,4,0,04
1974,14,13,1314
1976,1,6,16
2003,14,13,1314
2075,14,13,1314
2114,14,13,1314
2120,14,13,1314
2121,1,6,16
2130,14,13,1314
2133,14,13,1314
2138,14,13,1314
2140,14,13,1314
2151,0,14,014
2156,0,3,03
2158,0,3,03
2159,1,0,01
2164,6,10,610
2166,4,1,14
2167,1,6,16
2168,14,13,1314
2169,0,14,014
2172,14,13,1314
2180,14,13,1314
2188,14,13,1314
2191,14,13,1314
2192,14,13,1314
2193,5,1,15
2195,0,5,05
2210,4,1,14
2216,14,13,1314
2218,6,4,46
2222,6,4,46
2223,4,1,14
2227,0,14,014
2229,0,14,014
2231,0,14,014
2233,14,13,1314
2244,14,13,1314
2245,6,4,46
2246,0,14,014
2247,14,13,1314
2248,14,13,1314
2251,6,1,16
2252,14,13,1314
2254,14,13,1314
2264,14,13,1314
2267,14,13,1314
2285,14,13,1314
2294,14,13,1314
2296,4,1,14
2299,14,13,1314
2301,14,13,1314
2302,14,13,1314
2304,14,13,1314
2305,1,6,16
2306,4,1,14
2311,14,13,1314
2313,5,1,15
2316,14,13,1314
2318,0,14,014
2320,0,14,014
2324,14,13,1314
2328,14,13,1314
2329,14,13,1314
2330,14,13,1314
2333,14,13,1314
2335,1,0,01
2338,14,13,1314
2341,14,13,1314
2342,14,13,1314
2344,1,0,01
2345,0,14,014
2346,0,14,014
2349,14,13,1314
2350,14,13,1314
2351,14,13,1314
2352,14,13,1314
2353,0,14,014
2354,14,13,1314
2355,14,13,1314
2356,14,13,1314
2357,14,13,1314
2358,4,1,14
2372,14,13,1314
2373,0,14,014
2382,1,6,16
2384,14,13,1314
2387,4,6,46
2395,4,1,14
2400,4,1,14
2403,14,13,1314
2404,14,13,1314
2409,14,13,1314
2412,0,14,014
2421,14,13,1314
2432,14,13,1314
2445,14,13,1314
2447,0,14,014
2450,1,6,16
