node_number,Orbit_type_I,Orbit_type_II,two_Orbit_type
597,18,15,1518
598,15,19,1519
599,22,19,1922
600,18,19,1819
601,18,15,1518
602,18,15,1518
603,22,19,1922
604,22,19,1922
605,22,19,1922
606,15,4,415
607,15,19,1519
608,15,19,1519
609,15,19,1519
610,15,19,1519
611,22,19,1922
612,15,19,1519
613,15,18,1518
614,22,19,1922
615,22,19,1922
616,22,19,1922
617,19,22,1922
618,18,15,1518
619,15,19,1519
620,19,22,1922
621,15,19,1519
622,19,22,1922
623,15,0,015
624,15,19,1519
625,22,19,1922
626,22,19,1922
627,22,20,2022
628,15,22,1522
629,15,19,1519
630,15,19,1519
631,18,24,1824
632,22,19,1922
633,22,19,1922
634,15,0,015
635,15,19,1519
636,22,19,1922
637,18,19,1819
638,16,18,1618
639,18,15,1518
640,18,15,1518
641,18,24,1824
642,19,22,1922
643,15,19,1519
644,18,15,1518
645,15,19,1519
646,15,16,1516
647,22,19,1922
648,22,19,1922
649,18,19,1819
650,15,4,415
651,22,19,1922
652,22,19,1922
653,19,6,619
654,19,22,1922
655,22,19,1922
656,18,4,418
657,15,19,1519
658,19,22,1922
659,15,17,1517
660,18,15,1518
661,18,22,1822
662,15,18,1518
663,19,22,1922
664,15,19,1519
665,22,19,1922
666,22,19,1922
667,22,19,1922
668,22,19,1922
669,18,15,1518
670,18,19,1819
671,18,19,1819
672,15,1,115
673,15,19,1519
674,18,19,1819
675,22,19,1922
676,22,19,1922
677,19,15,1519
678,22,19,1922
679,15,19,1519
680,18,15,1518
681,15,19,1519
682,15,18,1518
683,23,21,2123
684,22,19,1922
685,22,19,1922
686,18,15,1518
687,22,19,1922
688,18,16,1618
689,18,19,1819
690,15,19,1519
691,19,22,1922
692,18,19,1819
693,19,22,1922
694,22,18,1822
695,15,19,1519
696,18,19,1819
697,15,19,1519
698,22,19,1922
699,22,19,1922
700,15,19,1519
701,18,19,1819
702,22,19,1922
703,19,18,1819
704,19,15,1519
705,18,15,1518
706,18,15,1518
707,15,19,1519
708,22,19,1922
709,15,18,1518
710,19,15,1519
711,18,19,1819
712,22,19,1922
713,19,15,1519
714,18,15,1518
715,18,19,1819
716,18,15,1518
717,22,19,1922
718,15,19,1519
719,15,19,1519
720,18,19,1819
721,18,19,1819
722,22,19,1922
723,15,19,1519
724,18,16,1618
725,18,19,1819
726,15,19,1519
727,22,19,1922
728,18,19,1819
729,18,19,1819
730,15,19,1519
731,19,15,1519
732,15,19,1519
733,15,19,1519
734,15,19,1519
735,19,18,1819
736,19,18,1819
737,18,15,1518
738,19,18,1819
739,22,19,1922
740,15,19,1519
741,19,4,419
742,18,19,1819
743,15,19,1519
744,19,18,1819
745,18,19,1819
746,19,22,1922
747,19,15,1519
748,22,19,1922
749,22,19,1922
750,15,19,1519
751,22,19,1922
752,18,19,1819
753,19,22,1922
754,19,18,1819
755,22,19,1922
756,15,19,1519
757,22,19,1922
758,19,15,1519
759,19,15,1519
760,19,15,1519
761,15,19,1519
762,18,24,1824
763,18,15,1518
764,18,15,1518
765,18,15,1518
766,22,19,1922
767,18,19,1819
768,18,19,1819
769,19,22,1922
770,22,19,1922
771,22,19,1922
772,22,19,1922
773,19,22,1922
774,15,18,1518
775,18,19,1819
776,15,19,1519
777,15,24,1524
778,18,15,1518
779,15,19,1519
780,18,19,1819
781,22,19,1922
782,15,18,1518
783,22,19,1922
784,18,15,1518
785,6,1,16
786,15,4,415
787,18,19,1819
788,15,19,1519
789,15,19,1519
790,15,19,1519
791,22,19,1922
792,22,19,1922
793,19,22,1922
794,19,18,1819
795,19,22,1922
796,19,22,1922
797,22,19,1922
798,15,18,1518
799,22,19,1922
800,19,18,1819
801,15,19,1519
802,18,19,1819
803,18,19,1819
804,18,19,1819
805,18,19,1819
806,19,18,1819
807,18,15,1518
808,15,16,1516
809,22,19,1922
810,18,15,1518
811,19,15,1519
812,18,16,1618
813,18,19,1819
814,18,19,1819
815,15,19,1519
816,15,18,1518
817,15,19,1519
818,15,19,1519
819,18,15,1518
820,18,15,1518
821,22,19,1922
822,15,19,1519
823,22,19,1922
824,15,18,1518
825,15,16,1516
826,18,15,1518
827,18,15,1518
828,18,19,1819
829,22,19,1922
830,22,19,1922
831,19,22,1922
832,22,20,2022
833,15,19,1519
834,15,19,1519
835,19,15,1519
836,22,19,1922
837,15,18,1518
838,21,23,2123
839,15,19,1519
840,19,16,1619
841,19,18,1819
842,19,16,1619
843,15,18,1518
844,19,20,1920
845,19,22,1922
846,18,15,1518
847,18,15,1518
848,0,1,01
849,18,16,1618
850,18,16,1618
851,18,15,1518
852,21,16,1621
853,15,19,1519
854,18,15,1518
855,18,15,1518
856,18,22,1822
857,22,19,1922
858,15,24,1524
859,18,15,1518
860,22,19,1922
861,18,15,1518
862,18,19,1819
863,22,19,1922
864,18,16,1618
865,18,15,1518
866,22,20,2022
867,15,19,1519
868,18,16,1618
869,22,20,2022
870,19,22,1922
871,15,19,1519
872,18,19,1819
873,15,18,1518
874,15,19,1519
875,19,18,1819
876,18,19,1819
877,21,23,2123
878,16,15,1516
879,22,19,1922
880,15,27,1527
881,15,24,1524
882,18,15,1518
883,22,19,1922
884,19,16,1619
885,19,15,1519
886,18,15,1518
887,22,19,1922
888,15,19,1519
889,15,16,1516
890,19,22,1922
891,19,15,1519
892,22,18,1822
893,22,19,1922
894,18,19,1819
895,18,15,1518
896,15,16,1516
897,15,19,1519
898,22,19,1922
899,22,19,1922
900,22,19,1922
901,18,15,1518
902,15,18,1518
903,18,15,1518
904,18,16,1618
905,18,15,1518
906,15,19,1519
907,22,19,1922
908,4,18,418
909,22,19,1922
910,19,15,1519
911,18,16,1618
912,18,15,1518
913,15,4,415
914,19,22,1922
915,18,19,1819
916,22,19,1922
917,18,24,1824
918,18,15,1518
919,19,32,1932
920,15,18,1518
921,15,19,1519
922,19,29,1929
923,15,19,1519
924,22,19,1922
925,18,16,1618
926,18,15,1518
927,18,15,1518
928,15,18,1518
929,23,21,2123
930,15,29,1529
931,15,16,1516
932,18,15,1518
933,18,16,1618
934,22,19,1922
935,22,19,1922
936,18,15,1518
937,22,19,1922
938,18,19,1819
939,19,31,1931
940,18,16,1618
941,15,18,1518
942,15,18,1518
943,18,15,1518
944,19,15,1519
945,16,15,1516
946,22,19,1922
947,22,19,1922
948,18,19,1819
949,18,19,1819
950,15,22,1522
951,22,19,1922
952,18,15,1518
953,18,24,1824
954,18,19,1819
955,15,19,1519
956,22,19,1922
957,15,19,1519
958,18,15,1518
959,18,16,1618
960,15,0,015
961,18,15,1518
962,15,16,1516
963,20,21,2021
964,18,19,1819
965,22,19,1922
966,22,19,1922
967,15,24,1524
968,18,15,1518
969,19,29,1929
970,18,15,1518
971,18,15,1518
972,15,19,1519
973,18,15,1518
974,18,15,1518
975,22,19,1922
976,22,19,1922
977,18,19,1819
978,18,15,1518
979,22,18,1822
980,22,18,1822
981,19,18,1819
982,15,18,1518
983,15,16,1516
984,18,15,1518
985,15,19,1519
986,15,16,1516
987,18,15,1518
988,15,16,1516
989,16,18,1618
990,22,19,1922
991,18,15,1518
992,15,18,1518
993,19,22,1922
994,18,15,1518
995,22,19,1922
996,22,19,1922
997,18,19,1819
998,15,18,1518
999,19,22,1922
1000,18,24,1824
1001,18,15,1518
1002,21,16,1621
1003,22,19,1922
1004,15,18,1518
1005,21,20,2021
1006,18,15,1518
1007,18,16,1618
1008,15,4,415
1009,22,19,1922
1010,18,15,1518
1011,22,19,1922
1012,15,18,1518
1013,18,15,1518
1014,22,19,1922
1015,19,22,1922
1016,22,19,1922
1017,15,19,1519
1018,15,19,1519
1019,19,22,1922
1020,15,24,1524
1021,16,18,1618
1022,15,19,1519
1023,18,15,1518
1024,18,16,1618
1025,15,19,1519
1026,18,16,1618
1027,22,19,1922
1028,15,19,1519
1029,22,19,1922
1030,19,0,019
1031,15,21,1521
1032,20,19,1920
1033,15,0,015
1034,19,18,1819
1035,16,18,1618
1036,19,18,1819
1037,22,19,1922
1038,15,19,1519
1039,18,16,1618
1040,15,19,1519
1041,15,16,1516
1042,18,16,1618
1043,15,4,415
1044,18,15,1518
1045,15,18,1518
1046,15,18,1518
1047,19,15,1519
1048,22,19,1922
1049,21,16,1621
1050,18,19,1819
1051,22,19,1922
1052,18,15,1518
1053,22,32,2232
1054,15,4,415
1055,15,19,1519
1056,18,15,1518
1057,18,24,1824
1058,15,19,1519
1059,18,19,1819
1060,22,19,1922
1061,22,20,2022
1062,15,16,1516
1063,18,16,1618
1064,22,20,2022
1065,15,18,1518
1066,18,15,1518
1067,19,15,1519
1068,19,15,1519
1069,18,15,1518
1070,18,15,1518
1071,18,19,1819
1072,18,19,1819
1073,15,18,1518
1074,18,15,1518
1075,22,20,2022
1076,19,16,1619
1077,19,22,1922
1078,18,15,1518
1079,15,24,1524
1080,22,19,1922
1081,15,18,1518
1082,15,18,1518
1083,18,19,1819
1084,18,15,1518
1085,19,18,1819
1086,18,15,1518
1087,22,19,1922
1088,18,15,1518
1089,16,19,1619
1090,19,18,1819
1091,18,19,1819
1092,22,19,1922
1093,18,19,1819
1094,18,15,1518
1095,18,19,1819
1096,18,19,1819
1097,18,15,1518
1098,18,19,1819
1099,18,15,1518
1100,22,19,1922
1101,19,1,119
1102,15,16,1516
1103,22,19,1922
1104,22,19,1922
1105,18,19,1819
1106,18,19,1819
1107,15,18,1518
1108,15,18,1518
1109,19,15,1519
1110,16,21,1621
1111,18,15,1518
1112,15,18,1518
1113,18,15,1518
1114,15,4,415
1115,18,15,1518
1116,22,18,1822
1117,18,15,1518
1118,15,19,1519
1119,18,15,1518
1120,22,19,1922
1121,15,16,1516
1122,19,16,1619
1123,15,18,1518
1124,19,18,1819
1125,22,19,1922
1126,18,19,1819
1127,15,19,1519
1128,18,15,1518
1129,15,19,1519
1130,15,19,1519
1131,15,18,1518
1132,15,16,1516
1133,18,19,1819
1134,22,19,1922
1135,18,15,1518
1136,22,19,1922
1137,15,4,415
1138,15,4,415
1139,22,19,1922
1140,15,18,1518
1141,15,16,1516
1142,22,19,1922
1143,15,19,1519
1144,32,31,3132
1145,22,19,1922
1146,19,15,1519
1147,18,16,1618
1148,15,18,1518
1149,18,19,1819
1150,18,16,1618
1151,20,22,2022
1152,18,15,1518
1153,17,20,1720
1154,15,19,1519
1155,19,18,1819
1156,15,16,1516
1157,15,16,1516
1158,22,19,1922
1159,18,19,1819
1160,22,20,2022
1161,15,18,1518
1162,15,16,1516
1163,18,16,1618
1164,22,19,1922
1165,22,19,1922
1166,22,19,1922
1167,19,22,1922
1168,22,19,1922
1169,22,19,1922
1170,19,15,1519
1171,18,15,1518
1172,18,16,1618
1173,18,15,1518
1174,22,19,1922
1175,15,19,1519
1176,18,15,1518
1177,18,15,1518
1178,18,19,1819
1179,23,21,2123
1180,15,18,1518
1181,15,18,1518
1182,18,20,1820
1183,18,15,1518
1184,18,22,1822
1185,18,16,1618
1186,22,19,1922
1187,18,16,1618
1188,22,32,2232
1189,18,16,1618
1190,18,15,1518
1191,22,19,1922
1192,16,20,1620
1193,19,16,1619
1194,15,19,1519
1195,22,19,1922
1196,15,18,1518
1197,15,19,1519
1198,15,19,1519
1199,15,19,1519
1200,18,15,1518
1201,22,19,1922
1202,18,19,1819
1203,15,16,1516
1204,15,18,1518
1205,15,16,1516
1206,18,19,1819
1207,18,19,1819
1208,19,22,1922
1209,22,32,2232
1210,22,19,1922
1211,18,15,1518
1212,18,19,1819
1213,19,22,1922
1214,22,19,1922
1215,15,19,1519
1216,18,24,1824
1217,18,15,1518
1218,15,19,1519
1219,18,15,1518
1220,18,15,1518
1221,18,15,1518
1222,19,22,1922
1223,15,19,1519
1224,18,19,1819
1225,18,19,1819
1226,22,19,1922
1227,15,19,1519
1228,15,18,1518
1229,19,22,1922
1230,18,16,1618
1231,15,18,1518
1232,18,15,1518
1233,18,15,1518
1234,18,16,1618
1235,15,19,1519
1236,16,15,1516
1237,18,19,1819
1238,21,20,2021
1239,19,18,1819
1240,19,18,1819
1241,18,15,1518
1242,18,15,1518
1243,22,19,1922
1244,22,19,1922
1245,15,19,1519
1246,15,18,1518
1247,15,18,1518
1248,15,16,1516
1249,15,18,1518
1250,18,15,1518
1251,22,19,1922
1252,15,18,1518
1253,16,19,1619
1254,21,5,521
1255,18,16,1618
1256,22,32,2232
1257,22,19,1922
1258,18,15,1518
1259,22,19,1922
1260,22,18,1822
1261,15,0,015
1262,22,19,1922
1263,22,19,1922
1264,22,20,2022
1265,15,16,1516
1266,18,15,1518
1267,22,19,1922
1268,18,19,1819
1269,22,18,1822
1270,15,19,1519
1271,21,20,2021
1272,22,19,1922
1273,22,19,1922
1274,22,19,1922
1275,15,19,1519
1276,18,15,1518
1277,22,19,1922
1278,15,19,1519
1279,15,19,1519
1280,18,16,1618
1281,15,16,1516
1282,18,22,1822
1283,22,19,1922
1284,22,19,1922
1285,19,22,1922
1286,15,1,115
1287,18,19,1819
1288,21,23,2123
1289,15,16,1516
1290,18,15,1518
1291,15,18,1518
1292,18,24,1824
1293,15,19,1519
1294,18,15,1518
1295,22,19,1922
1296,18,15,1518
1297,15,18,1518
1298,22,19,1922
1299,21,23,2123
1300,18,16,1618
1301,19,15,1519
1302,18,15,1518
1303,15,18,1518
1304,22,32,2232
1305,22,19,1922
1306,19,18,1819
1307,18,19,1819
1308,15,18,1518
1309,22,19,1922
1310,15,19,1519
1311,18,19,1819
1312,15,22,1522
1313,22,20,2022
1314,18,16,1618
1315,18,15,1518
1316,18,15,1518
1317,19,18,1819
1318,15,4,415
1319,22,19,1922
1320,22,19,1922
1321,22,19,1922
1322,19,15,1519
1323,18,15,1518
1324,18,15,1518
1325,18,15,1518
1326,18,19,1819
1327,18,19,1819
1328,18,15,1518
1329,18,15,1518
1330,22,19,1922
1331,18,15,1518
1332,18,19,1819
1333,22,19,1922
1334,18,19,1819
1335,18,15,1518
1336,18,19,1819
1337,22,19,1922
1338,18,16,1618
1339,16,21,1621
1340,32,26,2632
1341,15,19,1519
1342,23,21,2123
1343,18,15,1518
1344,15,19,1519
1345,22,19,1922
1346,15,22,1522
1347,18,16,1618
1348,15,32,1532
1349,15,4,415
1350,18,15,1518
1351,18,15,1518
1352,18,15,1518
1353,22,19,1922
1354,15,16,1516
1355,18,15,1518
1356,22,19,1922
1357,15,19,1519
1358,18,15,1518
1359,18,15,1518
1360,15,18,1518
1361,18,19,1819
1362,19,22,1922
1363,15,19,1519
1364,22,19,1922
1365,15,19,1519
1366,22,19,1922
1367,18,15,1518
1368,18,15,1518
1369,18,15,1518
1370,15,19,1519
1371,18,15,1518
1372,19,15,1519
1373,19,22,1922
1374,18,15,1518
1375,20,22,2022
1376,22,19,1922
1377,19,18,1819
1378,19,22,1922
1379,18,15,1518
1380,15,18,1518
1381,18,19,1819
1382,18,15,1518
1383,15,18,1518
1384,22,19,1922
1385,22,19,1922
1386,18,15,1518
1387,18,15,1518
1388,18,16,1618
1389,15,19,1519
1390,15,18,1518
1391,18,22,1822
1392,22,19,1922
1393,18,22,1822
1394,22,20,2022
1395,18,19,1819
1396,22,32,2232
1397,18,19,1819
1398,18,15,1518
1399,22,19,1922
1400,18,15,1518
1401,18,15,1518
1402,18,15,1518
1403,18,15,1518
1404,22,19,1922
1405,19,22,1922
1406,18,19,1819
1407,22,19,1922
1408,15,18,1518
1409,22,19,1922
1410,18,16,1618
1411,18,15,1518
1412,18,15,1518
1413,18,15,1518
1414,18,15,1518
1415,18,19,1819
1416,15,18,1518
1417,22,19,1922
1418,19,22,1922
1419,19,22,1922
1420,22,19,1922
1421,22,19,1922
1422,18,15,1518
1423,22,19,1922
1424,15,18,1518
1425,22,32,2232
1426,15,18,1518
1427,22,19,1922
1428,15,19,1519
1429,15,4,415
1430,18,16,1618
1431,15,19,1519
1432,22,19,1922
1433,22,19,1922
1434,22,19,1922
1435,18,19,1819
1436,18,19,1819
1437,15,19,1519
1438,22,19,1922
1439,18,19,1819
1440,15,17,1517
1441,18,19,1819
1442,15,19,1519
1443,22,20,2022
1444,18,19,1819
1445,18,15,1518
1446,22,19,1922
1447,22,19,1922
1448,18,15,1518
1449,18,15,1518
1450,22,19,1922
1451,15,19,1519
1452,18,15,1518
1453,18,19,1819
1454,22,19,1922
1455,19,22,1922
1456,18,16,1618
1457,32,22,2232
1458,18,15,1518
1459,19,15,1519
1460,18,19,1819
1461,22,19,1922
1462,15,19,1519
1463,22,19,1922
1464,15,16,1516
1465,16,21,1621
1466,22,19,1922
1467,16,26,1626
1468,22,19,1922
1469,15,19,1519
1470,18,19,1819
1471,15,18,1518
1472,19,22,1922
1473,15,19,1519
1474,18,19,1819
1475,18,19,1819
1476,16,21,1621
1477,0,1,01
1478,22,32,2232
1479,22,32,2232
1480,21,23,2123
1481,20,19,1920
1482,15,16,1516
1483,18,15,1518
1484,18,16,1618
1485,15,19,1519
1486,22,19,1922
1487,15,18,1518
1488,15,4,415
1489,18,19,1819
1490,18,19,1819
1491,21,16,1621
1492,16,15,1516
1493,20,22,2022
1494,15,19,1519
1495,18,16,1618
1496,18,16,1618
1497,16,21,1621
1498,22,19,1922
